BenchTaxonName,BenchTaxonNameReferenceCode,TaxonConceptState,BiologicalCommunity,AlgalGroup,BenchTaxonProvisional,BenchTaxonHybrid,BU_ID,NADED_ID,BiodataTaxonName,BiodataCommonName,BiodataShortName,BiodataTaxonProvisional,BiodataTaxonHybrid,PublishedTaxonName,PublishedTaxonAuthority,ITIS_TSN,ITIS_MatchCode,PublishedSortOrder,PublishedTaxonLevel,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Infraclass,Superorder,Order_,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,Variety,Form,TaxonVersionNumber
Porifera,"",Current,Invertebrates,"",N,N,Porifera,"",Porifera,"",Porifer_16,N,N,Porifera,"Grant, 1836",46861,exact match,2000001,Phylum,"Porifera Grant, 1836",Porifera,"","","","","","","","","","","","","","","","","","","",16.4
Spongillidae,"",Deprecated,Invertebrates,"",N,N,Spongillidae,"",Porifera,"",Porifer_16,N,N,Porifera,"Grant, 1836",46861,exact match,2000002,Phylum,"Porifera Grant, 1836",Porifera,"","","","","","","","","","","","","","","","","","","",16.4
Demospongiae,"",Current,Invertebrates,"",N,N,Demospongiae,"",Demospongiae,"",Demospo_17,N,N,Demospongiae,"",47528,exact match,2000003,Class,Demospongiae,Porifera,"","",Demospongiae,"","","","","","","","","","","","","","","","",16.4
Ceractinomorpha,"",Current,Invertebrates,"",N,N,Ceractinomorpha,"",Ceractinomorpha,"",Ceracti_18,N,N,Ceractinomorpha,"",47528,Automated Parent Match @ Class,2000004,Subclass,Ceractinomorpha,Porifera,"","",Demospongiae,Ceractinomorpha,"","","","","","","","","","","","","","","",16.4
Cnidaria,"",Current,Invertebrates,"",N,N,Cnidaria,"",Cnidaria,"",Cnidari_5,N,N,Cnidaria,"Hatschek, 1888",48738,exact match,2000005,Phylum,"Cnidaria Hatschek, 1888",Cnidaria,"","","","","","","","","","","","","","","","","","","",16.4
Hydrozoa,"",Current,Invertebrates,"",N,N,Hydrozoa,"",Hydrozoa,"",Hydrozo_6,N,N,Hydrozoa,"",48739,Automated Exact Match,2000006,Class,Hydrozoa,Cnidaria,"","",Hydrozoa,"","","","","","","","","","","","","","","","",16.4
Hydroida,"",Current,Invertebrates,"",N,N,Hydroida,"",Hydroida,"",Hydroid_7,N,N,Hydroida,"",48740,Automated Exact Match,2000007,Order,Hydroida,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","","","","","","","","","","",16.4
Hydridae,"",Current,Invertebrates,"",N,N,Hydridae,"",Hydridae,"",Hydri_8,N,N,Hydridae,"",50844,Automated Exact Match,2000008,Family,Hydridae,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","",Hydridae,"","","","","","","","",16.4
Hydra,"",Current,Invertebrates,"",N,N,Hydra sp.,"",Hydra,"",Hydra_9,N,N,Hydra,"",50845,Automated Exact Match,2000009,Genus,Hydra,Cnidaria,"","",Hydrozoa,"","","",Hydroida,"","","",Hydridae,"","",Hydra,"","","","","",16.4
Platyhelminthes,"",Current,Invertebrates,"",N,N,Platyhelminthes,"",Platyhelminthes,"",Platyhe_10,N,N,Platyhelminthes,"",53963,exact match,2000010,Phylum,Platyhelminthes,Platyhelminthes,"","","","","","","","","","","","","","","","","","","",16.4
Trepaxonemata,"",Current,Invertebrates,"",N,N,Trepaxonemata,"",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000011,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Turbellaria,"",Current,Invertebrates,"",N,N,Turbellaria,"",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000012,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Turbellaria,"Thorp and Covich, 2001",Current,Invertebrates,"",N,N,"Turbellaria sensu Thorp and Covich, 2001","",Turbellaria,"",Turbell_11,N,N,Turbellaria,"",53964,Automated Exact Match,2000013,Class,Turbellaria,Platyhelminthes,"","",Turbellaria,"","","","","","","","","","","","","","","","",16.4
Tricladida,"",Current,Invertebrates,"",N,N,Tricladida,"",Tricladida,"",Triclad_12,N,N,Tricladida,"",54468,Automated Exact Match,2000014,Order,Tricladida,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","","","","","","","","","","",16.4
Digesiidae,"",Retired,Invertebrates,"",N,N,Digesiidae,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000015,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Dugesia,"",Deprecated,Invertebrates,"",N,N,Dugesia sp.,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000016,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Dugesiidae,"",Current,Invertebrates,"",N,N,Dugesiidae,"",Dugesiidae,"",Duges_3807,N,N,Dugesiidae,"",54552,Automated Exact Match,2000017,Family,Dugesiidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","","","","","","","",16.4
Cura,"",Current,Invertebrates,"",N,N,Cura,"",Cura,"","",N,N,Cura,"",54553,exact match,2000018,Genus,Cura,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Cura,"","","","","",16.4
Girardia,"",Current,Invertebrates,"",N,N,Girardia sp.,"",Girardia,"",Girar_3808,N,N,Girardia,"",54552,Automated Parent Match @ Family,2000019,Genus,Girardia,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"","","","","",16.4
Girardia,"Smith, 2001",Current,Invertebrates,"",N,N,"Girardia sp. sensu Smith, 2001","",Girardia,"",Girar_3808,N,N,Girardia,"",54552,Automated Parent Match @ Family,2000020,Genus,Girardia,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"","","","","",16.4
Dugesia tigrina,"",Current,Invertebrates,"",N,N,Dugesia tigrina Girard,"",Girardia tigrina,"",Gi_tigr809,N,N,Girardia tigrina,(Girard),54552,Automated Parent Match @ Family,2000021,Species,Girardia tigrina (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"",Girardia tigrina,"","","",16.4
Dugesia tigrina,"Pennak, 1989",Deprecated,Invertebrates,"",N,N,"Dugesia tigrina Girard sensu Pennak, 1989","",Girardia tigrina,"",Gi_tigr809,N,N,Girardia tigrina,(Girard),54552,Automated Parent Match @ Family,2000022,Species,Girardia tigrina (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"",Girardia tigrina,"","","",16.4
Girardia tigrina,"",Current,Invertebrates,"",N,N,Girardia tigrina (Girard),"",Girardia tigrina,"",Gi_tigr809,N,N,Girardia tigrina,(Girard),54552,Automated Parent Match @ Family,2000023,Species,Girardia tigrina (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Dugesiidae,"","",Girardia,"",Girardia tigrina,"","","",16.4
Planariidae,"",Current,Invertebrates,"",N,N,Planariidae,"",Planariidae,"",Plana_3795,N,N,Planariidae,"",54502,Automated Exact Match,2000024,Family,Planariidae,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Planariidae,"","","","","","","","",16.4
Polycelis,"",Current,Invertebrates,"",N,N,Polycelis sp.,"",Polycelis,"",Polyc_3796,N,N,Polycelis,"",54510,Automated Exact Match,2000025,Genus,Polycelis,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Planariidae,"","",Polycelis,"","","","","",16.4
Polycelis,"Kolasa, 2001",Current,Invertebrates,"",N,N,"Polycelis sp. sensu Kolasa, 2001","",Polycelis,"",Polyc_3796,N,N,Polycelis,"",54510,Automated Exact Match,2000026,Genus,Polycelis,Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Planariidae,"","",Polycelis,"","","","","",16.4
Polycelis (Polycelis),"",Current,Invertebrates,"",N,N,Polycelis (Polycelis) sp.,"",Polycelis (Polycelis),"",Po_(Pol)97,N,N,Polycelis (Polycelis),"",54510,Automated Parent Match @ Genus,2000027,Subgenus,Polycelis (Polycelis),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Planariidae,"","",Polycelis,Polycelis (Polycelis),"","","","",16.4
Polycelis coronata,"",Current,Invertebrates,"",N,N,Polycelis coronata (Girard),"",Polycelis coronata,"",Po_coro798,N,N,Polycelis coronata,(Girard),54512,Automated Exact Match,2000028,Species,Polycelis coronata (Girard),Platyhelminthes,"","",Turbellaria,"","","",Tricladida,"","","",Planariidae,"","",Polycelis,Polycelis (Polycelis),Polycelis coronata,"","","",16.4
Nemertea,"",Current,Invertebrates,"",N,N,Nemertea,"",Nemertea,"",Nemerte_13,N,N,Nemertea,"",57411,exact match,2000029,Phylum,Nemertea,Nemertea,"","","","","","","","","","","","","","","","","","","",16.4
Nemertea,"Smith, 2001",Current,Invertebrates,"",N,N,"Nemertea sensu Smith, 2001","",Nemertea,"",Nemerte_13,N,N,Nemertea,"",57411,exact match,2000030,Phylum,Nemertea,Nemertea,"","","","","","","","","","","","","","","","","","","",16.4
Enopla,"",Current,Invertebrates,"",N,N,Enopla,"",Enopla,"",Enopla_14,N,N,Enopla,"",57490,Automated Exact Match,2000031,Class,Enopla,Nemertea,"","",Enopla,"","","","","","","","","","","","","","","","",16.4
Hoplonemertea,"",Current,Invertebrates,"",N,N,Hoplonemertea,"",Hoplonemertea,"",Hoplone_15,N,N,Hoplonemertea,"",57491,Automated Exact Match,2000032,Order,Hoplonemertea,Nemertea,"","",Enopla,"","","",Hoplonemertea,"","","","","","","","","","","","",16.4
Monostilifera,"",Current,Invertebrates,"",N,N,Monostilifera,"",Monostilifera,"",Monosti_16,N,N,Monostilifera,"",57492,Automated Exact Match,2000033,Suborder,Monostilifera,Nemertea,"","",Enopla,"","","",Hoplonemertea,Monostilifera,"","","","","","","","","","","",16.4
Tetrastemmatidae,"",Current,Invertebrates,"",N,N,Tetrastemmatidae,"",Tetrastemmatidae,"",Tetra_17,N,N,Tetrastemmatidae,"",57556,Automated Exact Match,2000034,Family,Tetrastemmatidae,Nemertea,"","",Enopla,"","","",Hoplonemertea,Monostilifera,"","",Tetrastemmatidae,"","","","","","","","",16.4
Prostoma,"",Current,Invertebrates,"",N,N,Prostoma sp.,"",Prostoma,"",Prost_18,N,N,Prostoma,"",57577,Automated Exact Match,2000035,Genus,Prostoma,Nemertea,"","",Enopla,"","","",Hoplonemertea,Monostilifera,"","",Tetrastemmatidae,"","",Prostoma,"","","","","",16.4
Prostoma,"Smith, 2001",Current,Invertebrates,"",N,N,"Prostoma sp. sensu Smith, 2001","",Prostoma,"",Prost_18,N,N,Prostoma,"",57577,Automated Exact Match,2000036,Genus,Prostoma,Nemertea,"","",Enopla,"","","",Hoplonemertea,Monostilifera,"","",Tetrastemmatidae,"","",Prostoma,"","","","","",16.4
Nemata,"",Deprecated,Invertebrates,"",N,N,Nemata,"",Nematoda,"",Nematod_39,N,N,Nematoda,"",59490,exact match,2000037,Phylum,Nematoda,Nematoda,"","","","","","","","","","","","","","","","","","","",16.4
Nematoda,"",Current,Invertebrates,"",N,N,Nematoda,"",Nematoda,"",Nematod_39,N,N,Nematoda,"",59490,exact match,2000038,Phylum,Nematoda,Nematoda,"","","","","","","","","","","","","","","","","","","",16.4
Nematoda,"Smith, 2001",Current,Invertebrates,"",N,N,"Nematoda sensu Smith, 2001","",Nematoda,"",Nematod_39,N,N,Nematoda,"",59490,exact match,2000039,Phylum,Nematoda,Nematoda,"","","","","","","","","","","","","","","","","","","",16.4
Nematoda,"Thorp and Covich, 2001",Current,Invertebrates,"",N,N,"Nematoda sensu Thorp and Covich, 2001","",Nematoda,"",Nematod_39,N,N,Nematoda,"",59490,exact match,2000040,Phylum,Nematoda,Nematoda,"","","","","","","","","","","","","","","","","","","",16.4
Mermithida,"",Current,Invertebrates,"",N,N,Mermithida,"",Mermithida,"","",N,N,Mermithida,"",63273,exact match,2000041,Order,Mermithida,Nematoda,"","","","","","",Mermithida,"","","","","","","","","","","","",16.4
Nematomorpha,"",Current,Invertebrates,"",N,N,Nematomorpha,"",Nematomorpha,"",Nematom_20,N,N,Nematomorpha,"Vejdovsky, 1886",64183,exact match,2000042,Phylum,"Nematomorpha Vejdovsky, 1886",Nematomorpha,"","","","","","","","","","","","","","","","","","","",16.4
Nematomorpha,"Thorp and Covich, 2001",Current,Invertebrates,"",N,N,"Nematomorpha sensu Thorp and Covich, 2001","",Nematomorpha,"",Nematom_20,N,N,Nematomorpha,"Vejdovsky, 1886",64183,exact match,2000043,Phylum,"Nematomorpha Vejdovsky, 1886",Nematomorpha,"","","","","","","","","","","","","","","","","","","",16.4
Gordioida,"",Current,Invertebrates,"",N,N,Gordioida,"",Gordioida,"",Gordioi_21,N,N,Gordioida,"",64187,Automated Exact Match,2000044,Class,Gordioida,Nematomorpha,"","",Gordioida,"","","","","","","","","","","","","","","","",16.4
Bryozoa,"",Current,Invertebrates,"",N,N,Bryozoa,"",Bryozoa,"",Bryozoa_22,N,N,Bryozoa,"",155469,exact match,2000045,Phylum,Bryozoa,Bryozoa,"","","","","","","","","","","","","","","","","","","",16.4
Bryozoa,"Thorp and others, 2010",Current,Invertebrates,"",N,N,"Bryozoa sensu Thorp and others, 2010","",Bryozoa,"",Bryozoa_22,N,N,Bryozoa,"",155469,exact match,2000046,Phylum,Bryozoa,Bryozoa,"","","","","","","","","","","","","","","","","","","",16.4
Phylactolaemata,"",Current,Invertebrates,"",N,N,Phylactolaemata,"",Phylactolaemata,"",Phylact_23,N,N,Phylactolaemata,"",156688,Automated Exact Match,2000047,Class,Phylactolaemata,Bryozoa,"","",Phylactolaemata,"","","","","","","","","","","","","","","","",16.4
Urnatella,"",Deprecated,Invertebrates,"",N,N,Urnatella sp.,"",Urnatella gracilis,"",Ur_grac25,N,N,Urnatella gracilis,Leidy,156754,Automated Exact Match,2000048,Species,Urnatella gracilis Leidy,Bryozoa,"","",Phylactolaemata,"","","","","","","","","","",Urnatella,"",Urnatella gracilis,"","","",16.4
Urnatella gracilis,"",Current,Invertebrates,"",N,N,Urnatella gracilis Leidy,"",Urnatella gracilis,"",Ur_grac25,N,N,Urnatella gracilis,Leidy,156754,Automated Exact Match,2000049,Species,Urnatella gracilis Leidy,Bryozoa,"","",Phylactolaemata,"","","","","","","","","","",Urnatella,"",Urnatella gracilis,"","","",16.4
Mollusca,"",Current,Invertebrates,"",N,N,Mollusca,"",Mollusca,"",Mollusc_26,N,N,Mollusca,"",69458,exact match,2000050,Phylum,Mollusca,Mollusca,"","","","","","","","","","","","","","","","","","","",16.4
Gastropoda,"",Current,Invertebrates,"",N,N,Gastropoda,"",Gastropoda,"",Gastrop_27,N,N,Gastropoda,"",69459,Automated Exact Match,2000051,Class,Gastropoda,Mollusca,"","",Gastropoda,"","","","","","","","","","","","","","","","",16.4
Prosobranchia,"",Current,Invertebrates,"",N,N,Prosobranchia,"",Prosobranchia,"",Prosobr_28,N,N,Prosobranchia,"",78780,Automated Exact Match,2000052,Subclass,Prosobranchia,Mollusca,"","",Gastropoda,Prosobranchia,"","","","","","","","","","","","","","","",16.4
Archaeogastropoda,"",Current,Invertebrates,"",N,N,Archaeogastropoda,"",Archaeogastropoda,"",Archaeo_29,N,N,Archaeogastropoda,"",69461,Automated Exact Match,2000053,Order,Archaeogastropoda,Mollusca,"","",Gastropoda,Prosobranchia,"","",Archaeogastropoda,"","","","","","","","","","","","",16.4
Neritidae,"",Current,Invertebrates,"",N,N,Neritidae,"",Neritidae,"",Nerit_30,N,N,Neritidae,"",70159,Automated Exact Match,2000054,Family,Neritidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Archaeogastropoda,"","","",Neritidae,"","","","","","","","",16.4
Neritina,"",Current,Invertebrates,"",N,N,Neritina sp.,"",Neritina,"",Nerit_3518,N,N,Neritina,"",70160,Automated Exact Match,2000055,Genus,Neritina,Mollusca,"","",Gastropoda,Prosobranchia,"","",Archaeogastropoda,"","","",Neritidae,"","",Neritina,"","","","","",16.4
Neritina reclivata,"",Current,Invertebrates,"",N,N,Neritina reclivata (Say),"",Neritina reclivata,"",Ne_recl520,N,N,Neritina reclivata,(Say),70163,Automated Exact Match,2000056,Species,Neritina reclivata (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Archaeogastropoda,"","","",Neritidae,"","",Neritina,"",Neritina reclivata,"","","",16.4
Neritina usnea,"",Retired,Invertebrates,"",N,N,Neritina usnea (Röding),"",Neritina reclivata,"",Ne_recl520,N,N,Neritina reclivata,(Say),70163,Automated Exact Match,2000057,Species,Neritina reclivata (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Archaeogastropoda,"","","",Neritidae,"","",Neritina,"",Neritina reclivata,"","","",16.4
Mesogastropoda,"",Current,Invertebrates,"",N,N,Mesogastropoda,"",Mesogastropoda,"",Mesogas_31,N,N,Mesogastropoda,"",70298,Automated Exact Match,2000058,Order,Mesogastropoda,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","","","","","","","","","","","",16.4
Valvatoidea,"",Current,Invertebrates,"",N,N,Valvatoidea,"",Valvatoidea,"",Valvato_32,N,N,Valvatoidea,"",70298,Automated Parent Match @ Order,2000059,Superfamily,Valvatoidea,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,"","","","","","","","","",16.4
Valvatidae,"",Current,Invertebrates,"",N,N,Valvatidae,"",Valvatidae,"",Valva_33,N,N,Valvatidae,"",70345,Automated Exact Match,2000060,Family,Valvatidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","","","","","","","",16.4
Valvata,"",Current,Invertebrates,"",N,N,Valvata sp.,"",Valvata,"",Valva_34,N,N,Valvata,"",70346,Automated Exact Match,2000061,Genus,Valvata,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"","","","","",16.4
Valvata,"Burch, 1982",Current,Invertebrates,"",N,N,"Valvata sp. sensu Burch, 1982","",Valvata,"",Valva_34,N,N,Valvata,"",70346,Automated Exact Match,2000062,Genus,Valvata,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"","","","","",16.4
Valvata bicarinata,"",Current,Invertebrates,"",N,N,Valvata bicarinata Lea,"",Valvata bicarinata,"",Va_bica629,N,N,Valvata bicarinata,Lea,70355,Automated Exact Match,2000063,Species,Valvata bicarinata Lea,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata bicarinata,"","","",16.4
Valvata humeralis,"",Current,Invertebrates,"",N,N,Valvata humeralis Say,"",Valvata humeralis,"",Va_hume35,N,N,Valvata humeralis,Say,70358,Automated Exact Match,2000064,Species,Valvata humeralis Say,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata humeralis,"","","",16.4
Valvata lewisi,"",Current,Invertebrates,"",N,N,Valvata lewisi Currier,"",Valvata lewisi,"",Va_lewi630,N,N,Valvata lewisi,Currier,70359,Automated Exact Match,2000065,Species,Valvata lewisi Currier,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata lewisi,"","","",16.4
Valvata mergella,"",Current,Invertebrates,"",N,N,Valvata mergella Westerlund,"",Valvata mergella,"",Va_merg631,N,N,Valvata mergella,Westerlund,70363,Automated Exact Match,2000066,Species,Valvata mergella Westerlund,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata mergella,"","","",16.4
Valvata piscinalis,"",Current,Invertebrates,"",N,N,Valvata piscinalis (Müller),"",Valvata piscinalis,"",Va_pisc632,N,N,Valvata piscinalis,(Müller),70348,Automated Exact Match,2000067,Species,Valvata piscinalis (Müller),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata piscinalis,"","","",16.4
Valvata sincera,"",Current,Invertebrates,"",N,N,Valvata sincera Say,"",Valvata sincera,"",Va_sinc633,N,N,Valvata sincera,Say,70349,Automated Exact Match,2000068,Species,Valvata sincera Say,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata sincera,"","","",16.4
Valvata tricarinata,"",Current,Invertebrates,"",N,N,Valvata tricarinata (Say),"",Valvata tricarinata,"",Va_tric103,N,N,Valvata tricarinata,(Say),70354,Automated Exact Match,2000069,Species,Valvata tricarinata (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata tricarinata,"","","",16.4
Valvata utahensis,"",Current,Invertebrates,"",N,N,Valvata utahensis Call,"",Valvata utahensis,"",Va_utah634,N,N,Valvata utahensis,Call,70360,Automated Exact Match,2000070,Species,Valvata utahensis Call,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Valvatoidea,Valvatidae,"","",Valvata,"",Valvata utahensis,"","","",16.4
Ampullarioidea,"",Current,Invertebrates,"",N,N,Ampullarioidea,"",Ampullarioidea,"",Ampulla_36,N,N,Ampullarioidea,"",70298,Automated Parent Match @ Order,2000071,Superfamily,Ampullarioidea,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,"","","","","","","","","",16.4
Bithyniidae,"",Current,Invertebrates,"",N,N,Bithyniidae,"",Bithyniidae,"",Bithy_37,N,N,Bithyniidae,"",70745,Automated Exact Match,2000072,Family,Bithyniidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Bithyniidae,"","","","","","","","",16.4
Bithynia,"",Current,Invertebrates,"",N,N,Bithynia sp.,"",Bithynia,"",Bithy_4618,N,N,Bithynia,"",70793,Automated Exact Match,2000073,Genus,Bithynia,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Bithyniidae,"","",Bithynia,"","","","","",16.4
Bithynia tentaculata,"",Current,Invertebrates,"",N,N,Bithynia tentaculata (Linnaeus),"",Bithynia tentaculata,"",Bi_tent637,N,N,Bithynia tentaculata,(Linnaeus),70794,Automated Exact Match,2000074,Species,Bithynia tentaculata (Linnaeus),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Bithyniidae,"","",Bithynia,"",Bithynia tentaculata,"","","",16.4
Pilidae,"",Current,Invertebrates,"",N,N,Pilidae,"",Pilidae,"",Pilid_38,N,N,Pilidae,"",73193,Automated Exact Match,2000075,Family,Pilidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Pilidae,"","","","","","","","",16.4
Marisa,"",Current,Invertebrates,"",N,N,Marisa sp.,"",Marisa,"",Maris_39,N,N,Marisa,"",73194,Automated Exact Match,2000076,Genus,Marisa,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Pilidae,"","",Marisa,"","","","","",16.4
Marisa cornuarietis,"",Current,Invertebrates,"",N,N,Marisa cornuarietis (Linnaeus),"",Marisa cornuarietis,"",Ma_corn40,N,N,Marisa cornuarietis,(Linnaeus),73195,Automated Exact Match,2000077,Species,Marisa cornuarietis (Linnaeus),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Pilidae,"","",Marisa,"",Marisa cornuarietis,"","","",16.4
Pomacea,"",Current,Invertebrates,"",N,N,Pomacea sp.,"",Pomacea,"",Pomac_41,N,N,Pomacea,"",70342,Automated Exact Match,2000078,Genus,Pomacea,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Pilidae,"","",Pomacea,"","","","","",16.4
Pomacea paludosa,"",Current,Invertebrates,"",N,N,Pomacea paludosa (Say),"",Pomacea paludosa,"",Po_palu046,N,N,Pomacea paludosa,(Say),70343,Automated Exact Match,2000079,Species,Pomacea paludosa (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Pilidae,"","",Pomacea,"",Pomacea paludosa,"","","",16.4
Viviparidae,"",Current,Invertebrates,"",N,N,Viviparidae,"",Viviparidae,"",Vivip_42,N,N,Viviparidae,"",70304,Automated Exact Match,2000080,Family,Viviparidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","","","","","","","",16.4
Viviparidae,"Burch, 1982",Current,Invertebrates,"",N,N,"Viviparidae sensu Burch, 1982","",Viviparidae,"",Vivip_42,N,N,Viviparidae,"",70304,Automated Exact Match,2000081,Family,Viviparidae,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","","","","","","","",16.4
Campeloma,"",Current,Invertebrates,"",N,N,Campeloma sp.,"",Campeloma,"",Campe_43,N,N,Campeloma,"",70311,Automated Exact Match,2000082,Genus,Campeloma,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"","","","","",16.4
Campeloma,"Burch, 1982",Current,Invertebrates,"",N,N,"Campeloma sp. sensu Burch, 1982","",Campeloma,"",Campe_43,N,N,Campeloma,"",70311,Automated Exact Match,2000083,Genus,Campeloma,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"","","","","",16.4
Campeloma crassula,"",Current,Invertebrates,"",N,N,Campeloma crassula Rafinesque,"",Campeloma crassula,"",Ca_cras635,N,N,Campeloma crassula,Rafinesque,70311,Automated Parent Match @ Genus,2000084,Species,Campeloma crassula Rafinesque,Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"",Campeloma crassula,"","","",16.4
Campeloma decisum,"",Current,Invertebrates,"",N,N,Campeloma decisum (Say),"",Campeloma decisum,"",Ca_deci636,N,N,Campeloma decisum,(Say),70312,Automated Exact Match,2000085,Species,Campeloma decisum (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"",Campeloma decisum,"","","",16.4
Campeloma decisum,"Burch, 1989",Current,Invertebrates,"",N,N,"Campeloma decisum (Say) sensu Burch, 1989","",Campeloma decisum,"",Ca_deci636,N,N,Campeloma decisum,(Say),70312,Automated Exact Match,2000086,Species,Campeloma decisum (Say),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"",Campeloma decisum,"","","",16.4
Campeloma geniculum,"",Current,Invertebrates,"",N,N,Campeloma geniculum (Conrad),"",Campeloma geniculum,"",Ca_geni292,N,N,Campeloma geniculum,(Conrad),70315,Automated Exact Match,2000087,Species,Campeloma geniculum (Conrad),Mollusca,"","",Gastropoda,Prosobranchia,"","",Mesogastropoda,"","",Ampullarioidea,Viviparidae,"","",Campeloma,"",Campeloma geniculum,"","","",16.4
