"","num","group","genus","lump"
"1.15",15,1,"Barbaetis","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.16",16,1,"Brachycercus","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.17",17,1,"Caenis","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.18",18,1,"Callibaetis","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.19",19,1,"Campsurus","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.20",20,1,"Caudatella","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.21",21,1,"Centroptilum","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.23",23,1,"Choroterpes","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.24",24,1,"Cinygma","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.25",25,1,"Cinygmula","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.26",26,1,"Cloe","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.27",27,1,"Cloeon","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.29",29,1,"Dannella","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.30",30,1,"Dentatella","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.31",31,1,"Diphetor","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.32",32,1,"Drunella","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.33",33,1,"Ecdyonurus","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
"1.34",34,1,"Ecdyurus","Acentrella/Acerpenna/Amercaenis/Americabaetis/Anafroptilum/Anthopotamus/Apobaetis/Attenella/Baetis/Baetisca/Barbaetis/Brachycercus/Caenis/Callibaetis/Campsurus/Caudatella/Centroptilum/Choroterpes/Cinygma/Cinygmula/Cloe/Cloeon/Dannella/Dentatella/Diphetor/Drunella/Ecdyonurus/Ecdyurus/Epeorus/Ephemera/Ephemerella/Ephoron/Eurycaenis/Eurylophella/Euthyplocia/Fallceon/Habrophlebia/Habrophlebiodes/Heptagenia/Heterocloeon/Hexagenia/Iron/Ironodes/Iswaeon/Labiobaetis/Leptophlebia/Leucrocuta/Litobrancha/Maccaffertium/Matriella/Neochoroterpes/Nixe/Palingenia/Paracloeodes/Paraleptophlebia/Penelomax/Plauditus/Potamanthus/Procloeon/Pseudocloeon/Raptoheptagenia/Rhithrogena/Serratella/Sparbarus/Stenacron/Stenonema/Susperatus/Teloganopsis/Timpanoga/Tsalia"
